Variance,Skewness,Curtosis,Entropy,Class
3.6216,8.6661,-2.8073,-0.44699,0
4.5459,8.1674,-2.4586,-1.4621,0
3.866,-2.6383,1.9242,0.10645,0
3.4566,9.5228,-4.0112,-3.5944,0
0.32924,-4.4552,4.5718,-0.9888,0
4.3684,9.6718,-3.9606,-3.1625,0
3.5912,3.0129,0.72888,0.56421,0
2.0922,-6.81,8.4636,-0.60216,0
3.2032,5.7588,-0.75345,-0.61251,0
1.5356,9.1772,-2.2718,-0.73535,0
1.2247,8.7779,-2.2135,-1.8958,0
4.9879,-3.1471,0.29807,-0.01281,1
-1.4733,1.3666,-3.228,0.3325,1
0.65201,-0.86155,2.188,1.2032,1
-0.75517,-0.61251,1.0425,1.1127,1
0.54224,2.3434,-0.72888,0.56421,1
